"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"idocyklin","DSigDB","UP","assoc","Idocyklin BOSS","3/85",0.026121583823491,0.785849644101707,17.9328592197149,"IGFBP1;MMP3;MMP8"
"palmatine","DSigDB","UP","assoc","palmatine PC3 DOWN","2/38",0.032935419116809,0.785849644101707,25.3863649378647,"GAGE2E;SSX1"
"clindamycin","DSigDB","UP","assoc","clindamycin HL60 UP","6/332",0.0393561182713456,0.785849644101707,8.07287413495726,"IBSP;GAGE2E;CGB5;CTAG2;WNT2;HOXC10"
"cimetidine","DSigDB","UP","assoc","cimetidine PC3 UP","7/422",0.0401340397288243,0.785849644101707,7.37141861748427,"IBSP;ALPP;GAGE2E;CGB5;CTAG2;WNT2;HOXC10"
"mevalolactone","DSigDB","UP","assoc","mevalolactone HL60 UP","2/44",0.0430533939162003,0.785849644101707,20.0458120858585,"GAGE2E;SSX1"
"toluidine","DSigDB","UP","assoc","Toluidine Blue O BOSS","2/45",0.0448391567781264,0.785849644101707,19.325665537026,"IGFBP1;MMP3"
"tetracycline","DSigDB","UP","assoc","tetracycline CTD 00006851","2/46",0.0466519598362282,0.785849644101707,18.6444069396074,"MMP3;MMP8"
"clopamide","DSigDB","UP","assoc","clopamide HL60 UP","4/180",0.046796951412649,0.785849644101707,9.37742105313512,"IBSP;GAGE2E;CGB5;CTAG2"
"5-azacytidine","DSigDB","UP","assoc","5-azacytidine CTD 00005455","6/352",0.0497672438201366,0.785849644101707,7.0471782008342,"IGFBP1;CLDN6;SALL4;MAGEA1;MAGEA3;CST4"
"chlorpromazine","DSigDB","UP","assoc","chlorpromazine CTD 00005648","3/113",0.0533210905740328,0.785849644101707,10.7358620675613,"IGFBP1;ALPP;HTR2C"
"chenodeoxycholic","DSigDB","UP","assoc","chenodeoxycholic acid CTD 00005623","2/56",0.0661600669645183,0.785849644101707,13.45334483635,"FGF19;SLCO1B3"
"chlorhexidine","DSigDB","UP","assoc","chlorhexidine PC3 UP","5/293",0.0700562009840545,0.785849644101707,6.22662181244379,"IBSP;ALPP;GAGE2E;CGB5;CTAG2"
"ajmaline","DSigDB","UP","assoc","ajmaline HL60 UP","5/294",0.0708586890881371,0.785849644101707,6.17817574077529,"IBSP;ALPP;CGB5;CTAG2;WNT2"
"deoxycholic","DSigDB","UP","assoc","DEOXYCHOLIC ACID CTD 00005765","2/61",0.0767624769077167,0.785849644101707,11.6363434679327,"FGF19;SLCO1B3"
"flunixin","DSigDB","UP","assoc","flunixin HL60 UP","3/133",0.0785297050401001,0.785849644101707,7.8764785594075,"CST1;GAGE2E;SSX1"
"agarose","DSigDB","UP","assoc","Agarose BOSS","3/133",0.0785297050401001,0.785849644101707,7.8764785594075,"IGFBP1;MMP3;FEZF1"
"iniprol","DSigDB","UP","assoc","Iniprol BOSS","2/62",0.078943788467923,0.785849644101707,11.3169347584178,"IGFBP1;MUC16"
"trazodone","DSigDB","UP","assoc","trazodone CTD 00006916","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"HTR2C"
"xanomeline","DSigDB","UP","assoc","XANOMELINE CTD 00002842","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"HTR2C"
"mirtazapine","DSigDB","UP","assoc","mirtazapine CTD 00001675","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"HTR2C"
"mevastatin","DSigDB","UP","assoc","Mevastatin TTD 00009287","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"NPSR1"
"amcinonide","DSigDB","UP","assoc","amcinonide TTD 00001949","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"NPSR1"
"kinichron","DSigDB","UP","assoc","Kinichron TTD 00008790","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"NPSR1"
"medroxyprogesterone","DSigDB","UP","assoc","Medroxyprogesterone acetate TTD 00009170","1/11",0.0794936710039838,0.785849644101707,33.7157214434852,"NPSR1"
