feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MNX1	status	Tumor	1.62242505243076	0.114450714828339	855	467	4.25752427424702e-41	7.80008213442476e-40
CAD	status	Tumor	1.62621235858027	0.1147181006053	855	437	4.25884484539592e-41	7.80008213442476e-40
GPM6B	status	Tumor	-1.62184068226911	0.114446797511875	855	386	4.49025668810237e-41	8.19389906588024e-40
PMM1	status	Tumor	-1.60683953709434	0.113435472020175	855	420	4.80604792123801e-41	8.73826894770548e-40
NPPC	status	Tumor	-1.62301635768818	0.114730273037986	855	506	5.97144837512828e-41	1.08178412592904e-39
TNFRSF10B	status	Tumor	1.62459464961621	0.114937818480232	855	398	6.84044845887297e-41	1.23473798896624e-39
LHPP	status	Tumor	-1.6215484072539	0.114725928301044	855	428	6.87568873188814e-41	1.23663466400866e-39
TMEM132C	status	Tumor	-1.6170143888209	0.114412566282095	855	421	6.94857537147763e-41	1.24526440349061e-39
PLCD1	status	Tumor	-1.62019924849454	0.114739493151652	855	408	8.02341306377902e-41	1.43275233281768e-39
DUXAP8	status	Tumor	1.62012020209475	0.114788628449919	855	387	8.66876450830206e-41	1.5424847879541e-39
S100B	status	Tumor	-1.61171401800411	0.114237194369046	855	399	9.22944737624454e-41	1.63642683975967e-39
CALM1	status	Tumor	-1.61256221615702	0.114357846524419	855	400	1.00559050116476e-40	1.77666166283526e-39
TMT1A	status	Tumor	-1.61203157015906	0.114368089366213	855	441	1.0760972648025e-40	1.89453743803258e-39
SNX10	status	Tumor	1.60082784817566	0.113586751765894	855	441	1.09703371626635e-40	1.92462055485324e-39
PLK1	status	Tumor	1.61288714907948	0.114447821125656	855	444	1.10544139260608e-40	1.93258984721343e-39
CAB39L	status	Tumor	-1.60913127012965	0.11420937446956	855	410	1.15026147362337e-40	2.00393984951807e-39
LIF	status	Tumor	1.60789221783899	0.114150984608705	855	423	1.19943014457469e-40	2.08234400099772e-39
PTGS1	status	Tumor	-1.60628705760976	0.114118362603853	855	432	1.34583485347051e-40	2.32843400254413e-39
SCNN1G	status	Tumor	-1.60040468408678	0.113766533582666	855	367	1.47812085573621e-40	2.54848423402795e-39
IQANK1	status	Tumor	1.61530139329346	0.114841589729341	855	476	1.51193745712228e-40	2.59783068234069e-39
ANKRD35	status	Tumor	-1.60963326636992	0.114492845175375	855	388	1.63193682889338e-40	2.79441237824209e-39
CCDC69	status	Tumor	-1.60942191912121	0.114615848156816	855	400	1.98128808064266e-40	3.38103768027757e-39
POLR1B	status	Tumor	1.60496773018718	0.114323702244232	855	426	2.05237531006034e-40	3.47860222044126e-39
FANCA	status	Tumor	1.60281841618162	0.114170077302735	855	432	2.05085342327211e-40	3.47860222044126e-39
ZNF267	status	Tumor	1.60854326981247	0.114585595873228	855	426	2.07322254168699e-40	3.502065104201e-39
SRSF5	status	Tumor	-1.59947378901393	0.113957528921898	855	418	2.12654191727618e-40	3.58003689777135e-39
RAB4A.AS1	status	Tumor	1.60437793321896	0.114400198279884	855	416	2.42413445327172e-40	4.06733968669751e-39
