"gene","module_membership","gene_significance","hub_score"
"ASPH",0.406298045147561,NA,NA
"DENND1B",0.406156971381984,NA,NA
"SLC11A2",0.40461857383159,NA,NA
"ACOT13",0.403961269508372,NA,NA
"TXNL4A",0.403594679399463,NA,NA
"SPRED1",0.403148289341586,NA,NA
"HARS2",0.402845362236467,NA,NA
"KIN",0.402764994294718,NA,NA
"ELP3",0.40222542201271,NA,NA
"RAB2A",0.402060314322296,NA,NA
"CHCHD7",0.402012540448911,NA,NA
"CS",0.40190441528603,NA,NA
"SETX",0.401678129007053,NA,NA
"POP5",0.401548256114264,NA,NA
"POLR1D",0.401508098801761,NA,NA
"MSH3",0.400935188829818,NA,NA
"PPP2CA",0.400865661229845,NA,NA
"GPBP1",0.400775079391038,NA,NA
"ADAM9",0.398124835204132,NA,NA
"MYNN",0.397742156128103,NA,NA
"RPUSD3",0.397668490356116,NA,NA
"RPP30",0.397632525864546,NA,NA
"STRAP",0.397163141280721,NA,NA
"SSR1",0.397103938027525,NA,NA
"LIG4",0.39697881304458,NA,NA
"EIF3M",0.396533793206522,NA,NA
"LMAN1",0.395893547329662,NA,NA
"ALKBH1",0.395615835284534,NA,NA
"TRIM32",0.395457707815808,NA,NA
"MED10",0.395108228234533,NA,NA
"GGNBP2",0.394837561236961,NA,NA
"EXOSC10",0.394778826676569,NA,NA
"TBCCD1",0.394766585684729,NA,NA
"PHOSPHO2",0.394025645456134,NA,NA
"RNF139",0.39375561451953,NA,NA
"METTL6",0.393559378015399,NA,NA
"HAUS1",0.392885856962159,NA,NA
"PIK3R4",0.392635626237001,NA,NA
"ATG16L1",0.391995367677693,NA,NA
"NME6",0.391251639591754,NA,NA
"CLCC1",0.390512323589053,NA,NA
"UBE2D2",0.390177895889743,NA,NA
"ICMT",0.38983538575859,NA,NA
"CEBPZ",0.389550057225766,NA,NA
"WDR55",0.388997537266667,NA,NA
"ST7L",0.388230362830083,NA,NA
"KLHL18",0.388122381304611,NA,NA
"GDAP2",0.388004830596036,NA,NA
"ORMDL1",0.38638389394219,NA,NA
"OXA1L",0.385253166541408,NA,NA
"SETD4",0.384856227341251,NA,NA
"FGFR1OP2",0.384151241696577,NA,NA
"PDP2",0.383232603443558,NA,NA
"MAPK9",0.382881686487002,NA,NA
"RABGAP1L",0.382437153768244,NA,NA
"THAP5",0.38241182096401,NA,NA
"RBMX2",0.381640483287396,NA,NA
