"gene","module","MM","GS","GS_trait","hubScore"
"RIC3","turquoise",0.789,-0.317,"status_Tumor",0.25
"ZFP28","turquoise",0.789,-0.284,"status_Tumor",0.224
"GYPC","turquoise",0.788,-0.354,"status_Tumor",0.279
"MAGEE1","turquoise",0.788,-0.277,"status_Tumor",0.218
"CHRM2","turquoise",0.788,-0.25,"status_Tumor",0.197
"LOC124909397","turquoise",0.787,-0.338,"status_Tumor",0.266
"ADAMTS8","turquoise",0.787,-0.23,"status_Tumor",0.181
"HAND2","turquoise",0.787,-0.207,"status_Tumor",0.163
"CACNA1C","turquoise",0.787,-0.108,"status_Tumor",0.085
"NCAM1","turquoise",0.786,-0.417,"status_Tumor",0.328
"MAB21L1","turquoise",0.786,-0.387,"status_Tumor",0.305
"CADM2","turquoise",0.785,-0.402,"status_Tumor",0.315
"CNR1","turquoise",0.785,-0.248,"status_Tumor",0.195
"BEX4","turquoise",0.784,-0.353,"status_Tumor",0.277
"DES","turquoise",0.784,-0.304,"status_Tumor",0.239
"S1PR3","turquoise",0.784,-0.114,"status_Tumor",0.089
"PDE3A","turquoise",0.784,-0.084,"status_Tumor",0.066
"DPP6","turquoise",0.783,-0.372,"status_Tumor",0.291
"AFF3","turquoise",0.783,-0.367,"status_Tumor",0.287
"TPM2","turquoise",0.783,-0.267,"status_Tumor",0.209
"AOX1","turquoise",0.783,-0.234,"status_Tumor",0.183
"AKAP12","turquoise",0.783,-0.195,"status_Tumor",0.152
"CCDC80","turquoise",0.783,-0.13,"status_Tumor",0.102
"STMN2","turquoise",0.782,-0.233,"status_Tumor",0.182
"GNAL","turquoise",0.782,-0.226,"status_Tumor",0.176
"GLRB","turquoise",0.782,-0.185,"status_Tumor",0.145
"ACTA2-AS1","turquoise",0.782,-0.123,"status_Tumor",0.096
"RASSF8","turquoise",0.782,-0.066,"status_Tumor",0.052
"TNFAIP8L3","turquoise",0.781,-0.367,"status_Tumor",0.287
"CYBRD1","turquoise",0.781,-0.337,"status_Tumor",0.263
"FBLN1","turquoise",0.781,-0.267,"status_Tumor",0.208
"SLITRK5","turquoise",0.781,-0.219,"status_Tumor",0.171
"AMOTL1","turquoise",0.781,-0.183,"status_Tumor",0.143
"ACKR1","turquoise",0.78,-0.34,"status_Tumor",0.265
"EPHA6","turquoise",0.78,-0.296,"status_Tumor",0.231
"FAM229B","turquoise",0.78,-0.289,"status_Tumor",0.225
"CNTNAP1","turquoise",0.78,0.038,"status_Tumor",0.03
"HOXA4","turquoise",0.779,-0.348,"status_Tumor",0.271
"TACR1","turquoise",0.779,-0.32,"status_Tumor",0.25
"NGFR","turquoise",0.779,-0.183,"status_Tumor",0.143
"DSEL","turquoise",0.779,-0.172,"status_Tumor",0.134
"LTBP1","turquoise",0.779,-0.093,"status_Tumor",0.072
"FGF14","turquoise",0.778,-0.26,"status_Tumor",0.202
"CAP2","turquoise",0.778,-0.201,"status_Tumor",0.156
"SVEP1","turquoise",0.778,-0.187,"status_Tumor",0.145
"FAM124A","turquoise",0.778,-0.126,"status_Tumor",0.098
"PIANP","turquoise",0.777,-0.304,"status_Tumor",0.236
"SPON1","turquoise",0.776,-0.22,"status_Tumor",0.171
"VIP","turquoise",0.775,-0.284,"status_Tumor",0.22
"SOBP","turquoise",0.775,-0.273,"status_Tumor",0.212
"ADAM23","turquoise",0.775,-0.179,"status_Tumor",0.139
"SLITRK3","turquoise",0.774,-0.397,"status_Tumor",0.307
"SCUBE2","turquoise",0.774,-0.384,"status_Tumor",0.297
